reach_id,strahler_ord,Z_u_m,Z_d_m,H_gross_m,A_u_km2,A_d_km2,length_m,slope_pct,mid_lon,mid_lat,is_ror,is_microhydro,hydro_method,Q_mean_m3s,Q40_m3s,Q65_m3s,Q80_m3s,Q90_m3s,Q_jan_m3s,Q_feb_m3s,Q_mar_m3s,Q_apr_m3s,Q_may_m3s,Q_jun_m3s,Q_jul_m3s,Q_aug_m3s,Q_sep_m3s,Q_oct_m3s,Q_nov_m3s,Q_dec_m3s,Q_env_m3s,Q_design_m3s,Q_net_m3s,eta,scale_type,H_net_m,P_inst_kW,annual_energy_MWh,dry_energy_MWh,wet_energy_MWh,E_jan_MWh,E_feb_MWh,E_mar_MWh,E_apr_MWh,E_may_MWh,E_jun_MWh,E_jul_MWh,E_aug_MWh,E_sep_MWh,E_oct_MWh,E_nov_MWh,E_dec_MWh,palika,is_border_river,apportion_factor,capacity_class,cultural_excluded,slope_viable,screened_viable
4294,1,1583.5,1521.5,62.0,0.67,1.93,216.4,28.65,83.065556,28.135833,0,1,WECS_NEA_MIP,0.0767,0.0518,0.0267,0.0155,0.0112,0.0169,0.0153,0.0169,0.023,0.0422,0.1342,0.2607,0.2798,0.161,0.0728,0.0322,0.0199,0.0015,0.0267,0.0252,0.65,Micro/Mini Hydro (<1 MW),55.8,8.97,70.62,28.9,41.72,4.08,3.3,4.08,5.51,7.07,6.84,7.07,7.07,6.84,7.07,6.84,4.87,Madane,0,1.0,Micro (5-100 kW),0,1,1
4296,1,1582.7,1393.2,189.4,0.5,2.03,535.9,35.35,83.475278,28.0775,0,1,WECS_NEA_MIP,0.0806,0.0545,0.0281,0.0163,0.0118,0.0177,0.0161,0.0177,0.0242,0.0443,0.141,0.2739,0.294,0.1692,0.0765,0.0338,0.0209,0.0016,0.0281,0.0265,0.65,Micro/Mini Hydro (<1 MW),170.5,28.81,226.85,92.67,134.18,13.02,10.59,13.02,17.69,22.73,22.0,22.73,22.73,22.0,22.73,22.0,15.61,Satyawati,0,1.0,Micro (5-100 kW),0,1,1
4297,1,1582.6,1422.9,159.7,0.51,3.39,487.4,32.76,83.038889,28.169722,0,1,WECS_NEA_MIP,0.1331,0.0905,0.0472,0.0277,0.0202,0.0293,0.0266,0.0293,0.0399,0.0732,0.233,0.4527,0.486,0.2796,0.1265,0.0559,0.0346,0.0027,0.0472,0.0445,0.65,Micro/Mini Hydro (<1 MW),143.7,40.78,319.4,129.45,189.95,18.13,14.72,18.13,24.54,32.18,31.14,32.18,32.18,31.14,32.18,31.14,21.75,Madane,0,1.0,Micro (5-100 kW),0,1,1
4299,1,1580.3,1543.7,36.6,0.9,1.17,597.8,6.13,83.145556,28.071944,0,1,WECS_NEA_MIP,0.0469,0.0316,0.0161,0.0092,0.0067,0.0103,0.0094,0.0103,0.0141,0.0258,0.0821,0.1596,0.1713,0.0986,0.0446,0.0197,0.0122,0.0009,0.0161,0.0152,0.65,Micro/Mini Hydro (<1 MW),32.9,3.19,25.24,10.4,14.83,1.47,1.2,1.47,1.99,2.51,2.43,2.51,2.51,2.43,2.51,2.43,1.76,Dhurkot,0,1.0,Pico (<5 kW),0,1,0
4300,1,1543.7,1346.6,197.1,1.17,1.43,566.2,34.81,83.146111,28.076667,0,1,WECS_NEA_MIP,0.0571,0.0385,0.0197,0.0114,0.0082,0.0126,0.0114,0.0126,0.0171,0.0314,0.1,0.1943,0.2086,0.12,0.0543,0.024,0.0149,0.0011,0.0197,0.0186,0.65,Micro/Mini Hydro (<1 MW),177.4,21.04,166.29,68.41,97.87,9.68,7.83,9.68,13.03,16.58,16.04,16.58,16.58,16.04,16.58,16.04,11.61,Dhurkot,0,1.0,Micro (5-100 kW),0,1,1
4301,1,1346.6,1217.9,128.7,1.43,2.52,474.1,27.14,83.148611,28.08,0,1,WECS_NEA_MIP,0.0996,0.0675,0.035,0.0204,0.0148,0.0219,0.0199,0.0219,0.0299,0.0548,0.1742,0.3385,0.3634,0.2091,0.0946,0.0418,0.0259,0.002,0.035,0.033,0.65,Micro/Mini Hydro (<1 MW),115.8,24.37,191.44,77.94,113.51,10.93,8.88,10.93,14.83,19.23,18.61,19.23,19.23,18.61,19.23,18.61,13.13,Dhurkot,0,1.0,Micro (5-100 kW),0,1,1
4303,1,1579.1,1437.7,141.4,0.51,1.27,383.7,36.85,83.080278,28.103611,0,1,WECS_NEA_MIP,0.0509,0.0342,0.0175,0.0101,0.0073,0.0112,0.0102,0.0112,0.0153,0.028,0.089,0.173,0.1857,0.1068,0.0483,0.0214,0.0132,0.001,0.0175,0.0165,0.65,Micro/Mini Hydro (<1 MW),127.3,13.39,106.02,43.63,62.39,6.16,5.02,6.16,8.36,10.57,10.23,10.57,10.57,10.23,10.57,10.23,7.37,Dhurkot,0,1.0,Micro (5-100 kW),0,1,1
4306,2,1578.4,1438.0,140.4,1.96,2.72,415.3,33.81,83.359444,28.141111,0,1,WECS_NEA_MIP,0.1073,0.0728,0.0378,0.022,0.016,0.0236,0.0215,0.0236,0.0322,0.059,0.1878,0.3648,0.3917,0.2253,0.1019,0.0451,0.0279,0.0022,0.0378,0.0357,0.65,Micro/Mini Hydro (<1 MW),126.4,28.77,225.41,91.61,133.81,12.83,10.45,12.83,17.41,22.67,21.94,22.67,22.67,21.94,22.67,21.94,15.41,Chandrakot,0,1.0,Micro (5-100 kW),0,1,1
4315,2,1577.1,1512.1,65.1,2.59,3.06,566.9,11.48,83.055833,28.186389,0,1,WECS_NEA_MIP,0.1204,0.0818,0.0426,0.0249,0.0181,0.0265,0.0241,0.0265,0.0361,0.0662,0.2108,0.4095,0.4396,0.2529,0.1144,0.0506,0.0313,0.0024,0.0426,0.0402,0.65,Micro/Mini Hydro (<1 MW),58.6,15.02,117.7,47.79,69.91,6.7,5.45,6.7,9.07,11.84,11.46,11.84,11.84,11.46,11.84,11.46,8.03,Madane,0,1.0,Micro (5-100 kW),0,1,1
4316,2,1512.1,1463.8,48.2,3.06,3.95,597.8,8.07,83.054167,28.181667,0,1,WECS_NEA_MIP,0.1547,0.1053,0.0551,0.0324,0.0236,0.034,0.0309,0.034,0.0464,0.0851,0.2707,0.5259,0.5645,0.3248,0.1469,0.065,0.0402,0.0031,0.0551,0.052,0.65,Micro/Mini Hydro (<1 MW),43.4,14.39,112.48,45.51,66.97,6.36,5.17,6.36,8.63,11.34,10.98,11.34,11.34,10.98,11.34,10.98,7.64,Madane,0,1.0,Micro (5-100 kW),0,1,1
